Complexity metrics,Fri, 25 May 2018 21:34:14 EEST
Method,ev(G),iv(G),v(G)
"gr.aueb.softeng.project1806.model.LineTest.getStart()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.removeBusTimetable()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.removeBusTimetableNull()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.removeStop()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.removeStopNull()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.setEnd()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.setLineCode()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.setLineName()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.setStart()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.setUp()",1,1,1
"gr.aueb.softeng.project1806.model.LineTest.stopBidirectionalAssociationInvariant(Line)",1,2,2
"gr.aueb.softeng.project1806.model.Location.Location(double,double)",1,1,1
"gr.aueb.softeng.project1806.model.Location.distanceBetweenLocations(Location)",1,1,1
"gr.aueb.softeng.project1806.model.Location.getLatitude()",1,1,1
"gr.aueb.softeng.project1806.model.Location.getLongitude()",1,1,1
"gr.aueb.softeng.project1806.model.Location.setLatitude(double)",1,1,1
"gr.aueb.softeng.project1806.model.Location.setLongitude(double)",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.distanceBetweenLocations()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.getLatitude()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.getLongitude()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.setLatitude()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.setLongitude()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.setUp()",1,1,1
"gr.aueb.softeng.project1806.model.LocationTest.tearDown()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.Stop()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.Stop(int,String,Location)",1,1,1
"gr.aueb.softeng.project1806.model.Stop.addLine(Line)",1,2,2
"gr.aueb.softeng.project1806.model.Stop.friendLines()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.getLines()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.getLocation()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.getStopID()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.getStopName()",1,1,1
"gr.aueb.softeng.project1806.model.Stop.removeLine(Line)",1,2,2
"gr.aueb.softeng.project1806.model.Stop.setLocation(Location)",1,1,1
"gr.aueb.softeng.project1806.model.Stop.setStopID(int)",1,1,1
"gr.aueb.softeng.project1806.model.Stop.setStopName(String)",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.addLine()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.addLineNull()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.getLocation()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.getStopID()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.getStopName()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.lineBidirectionalAssociationInvariant(Stop)",1,2,2
"gr.aueb.softeng.project1806.model.StopTest.removeLine()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.removeLineNull()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.setLocation()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.setStopID()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.setStopName()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.setUp()",1,1,1
"gr.aueb.softeng.project1806.model.StopTest.tearDown()",1,1,1
"gr.aueb.softeng.project1806.presenter.LineSearchPresenter.searchLine(String)",3,2,3
"gr.aueb.softeng.project1806.presenter.StopSearchPresenter.searchStopById(String)",2,1,2
"gr.aueb.softeng.project1806.presenter.StopSearchPresenter.searchStopByLocation(Location)",1,1,1
"gr.aueb.softeng.project1806.presenter.StopSearchPresenter.searchStopByName(String)",2,1,2
"gr.aueb.softeng.project1806.view.Home.onCreate(Bundle)",1,1,1
